OBSERVATIONS

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region/Country
99840	SVALBARD LUFTHAVN	Oct 1964		28	78.2453	15.5015	Spitsbergen	Svalbard	NORWAY

Elements
Code	Name	Unit
NN	Cloud cover	octas

Coordinated Universal Time (UTC) is the time by the Prime Meridian and is the successor to the hour Greenwich Mean Time (GMT). It is 1 hour after Norwegian Mean Time (NMT) and 2 hours after the Norwegian summer time. UTC gives the hours from 00 to 23.
****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no	Year	Mnth	Date	Time(UTC)	NN
99840	2006	1	18	18	7
99840	2006	1	19	0	7
99840	2006	1	19	6	7
99840	2006	1	19	12	7
99840	2006	1	19	18	7
99840	2006	1	20	0	5
99840	2006	1	20	6	1
99840	2006	1	20	12	3
99840	2006	1	20	18	4
99840	2006	1	21	0	4
99840	2006	1	21	6	4
99840	2006	1	21	12	7
99840	2006	1	21	18	7
99840	2006	1	22	0	4
99840	2006	1	22	6	7
99840	2006	1	22	12	7
99840	2006	1	22	18	7
99840	2006	1	23	0	7
99840	2006	1	23	6	4
99840	2006	1	23	12	4
99840	2006	1	23	18	7
99840	2006	1	24	0	7
99840	2006	1	24	6	.
99840	2006	1	24	12	7
99840	2006	1	24	18	6
99840	2006	1	25	0	7
99840	2006	1	25	6	7
99840	2006	1	25	12	7
99840	2006	1	25	18	7
99840	2006	1	26	0	7
99840	2006	1	26	6	7
99840	2006	1	26	12	7
99840	2006	1	26	18	2
99840	2006	1	27	0	7
99840	2006	1	27	6	6
99840	2006	1	27	12	7
99840	2006	1	27	18	8
99840	2006	1	28	0	7
99840	2006	1	28	6	7
99840	2006	1	28	12	8
99840	2006	1	28	18	8
99840	2006	1	29	0	8
99840	2006	1	29	6	8
99840	2006	1	29	12	5
99840	2006	1	29	18	7
99840	2006	1	30	0	3
99840	2006	1	30	6	2
99840	2006	1	30	12	3
99840	2006	1	30	18	1
99840	2006	1	31	0	5
99840	2006	1	31	6	2
99840	2006	1	31	12	5
99840	2006	1	31	18	7
99840	2006	2	1	0	7
99840	2006	2	1	6	6
99840	2006	2	1	12	5
99840	2006	2	1	18	7
99840	2006	2	2	0	4
99840	2006	2	2	6	3
99840	2006	2	2	12	-
99840	2006	2	2	18	7
99840	2006	2	3	0	7
99840	2006	2	3	6	7
99840	2006	2	3	12	7
99840	2006	2	3	18	7
99840	2006	2	4	0	8
99840	2006	2	4	6	8
99840	2006	2	4	12	7
99840	2006	2	4	18	7
99840	2006	2	5	0	7
99840	2006	2	5	6	7
99840	2006	2	5	12	7
99840	2006	2	5	18	6
99840	2006	2	6	0	7
99840	2006	2	6	6	2
99840	2006	2	6	12	5
99840	2006	2	6	18	7
99840	2006	2	7	0	7
99840	2006	2	7	6	7
99840	2006	2	7	12	2
99840	2006	2	7	18	2
99840	2006	2	8	0	7
99840	2006	2	8	6	7
99840	2006	2	8	12	5
99840	2006	2	8	18	7
99840	2006	2	9	0	7
99840	2006	2	9	6	7
99840	2006	2	9	12	8
99840	2006	2	9	18	8
99840	2006	2	10	0	8
99840	2006	2	10	6	7
99840	2006	2	10	12	6
99840	2006	2	10	18	7
99840	2006	2	11	0	7
99840	2006	2	11	6	8
99840	2006	2	11	12	8
99840	2006	2	11	18	7
99840	2006	2	12	0	8
99840	2006	2	12	6	8
99840	2006	2	12	12	8
99840	2006	2	12	18	7
99840	2006	2	13	0	7
99840	2006	2	13	6	7
99840	2006	2	13	12	-
99840	2006	2	13	18	7
99840	2006	2	14	0	3
99840	2006	2	14	6	3
99840	2006	2	14	12	2
99840	2006	2	14	18	1
99840	2006	2	15	0	1
99840	2006	2	15	6	1
99840	2006	2	15	12	1
99840	2006	2	15	18	1
99840	2006	2	16	0	1
99840	2006	2	16	6	1
99840	2006	2	16	12	1
99840	2006	2	16	18	1
99840	2006	2	17	0	3
99840	2006	2	17	6	3
99840	2006	2	17	12	7
99840	2006	2	17	18	3
99840	2006	2	18	0	3
99840	2006	2	18	6	3
99840	2006	2	18	12	-
99840	2006	2	18	18	4
99840	2006	2	19	0	2
99840	2006	2	19	6	4
99840	2006	2	19	12	7
99840	2006	2	19	18	7
99840	2006	2	20	0	4
99840	2006	2	20	6	7
99840	2006	2	20	12	7
99840	2006	2	20	18	7
99840	2006	2	21	0	7
99840	2006	2	21	6	7
99840	2006	2	21	12	7
99840	2006	2	21	18	2
99840	2006	2	22	0	7
99840	2006	2	22	6	.
99840	2006	2	22	12	7
99840	2006	2	22	18	5
99840	2006	2	23	0	5
99840	2006	2	23	6	7
99840	2006	2	23	12	7
99840	2006	2	23	18	2
99840	2006	2	24	0	1
99840	2006	2	24	6	4
99840	2006	2	24	12	7
99840	2006	2	24	18	7
99840	2006	2	25	0	3
99840	2006	2	25	6	7
99840	2006	2	25	12	6
99840	2006	2	25	18	6
99840	2006	2	26	0	7
99840	2006	2	26	6	7
99840	2006	2	26	12	7
99840	2006	2	26	18	7
99840	2006	2	27	0	7
99840	2006	2	27	6	7
99840	2006	2	27	12	5
99840	2006	2	27	18	1
99840	2006	2	28	0	1
99840	2006	2	28	6	4
99840	2006	2	28	12	7
99840	2006	2	28	18	7
99840	2006	3	1	0	2
99840	2006	3	1	6	1
99840	2006	3	1	12	1
99840	2006	3	1	18	1
99840	2006	3	2	0	6
99840	2006	3	2	6	.
99840	2006	3	2	12	7
99840	2006	3	2	18	8
99840	2006	3	3	0	7
99840	2006	3	3	6	3
99840	2006	3	3	12	1
99840	2006	3	3	18	1
99840	2006	3	4	0	1
99840	2006	3	4	6	1
99840	2006	3	4	12	1
99840	2006	3	4	18	1
99840	2006	3	5	0	1
99840	2006	3	5	6	3
99840	2006	3	5	12	7
99840	2006	3	5	18	7
99840	2006	3	6	0	7
99840	2006	3	6	6	3
99840	2006	3	6	12	2
99840	2006	3	6	18	1
99840	2006	3	7	0	1
99840	2006	3	7	6	5
99840	2006	3	7	12	7
99840	2006	3	7	18	8
99840	2006	3	8	0	7
99840	2006	3	8	6	7
99840	2006	3	8	12	7
99840	2006	3	8	18	.
99840	2006	3	9	0	7
99840	2006	3	9	6	7
99840	2006	3	9	12	7
99840	2006	3	9	18	7
99840	2006	3	10	0	3
99840	2006	3	10	6	1
99840	2006	3	10	12	4
99840	2006	3	10	18	4
99840	2006	3	11	0	7
99840	2006	3	11	6	-
99840	2006	3	11	12	7
99840	2006	3	11	18	5
99840	2006	3	12	0	7
99840	2006	3	12	6	7
99840	2006	3	12	12	6
99840	2006	3	12	18	7
99840	2006	3	13	0	2
99840	2006	3	13	6	6
99840	2006	3	13	12	6
99840	2006	3	13	18	8
99840	2006	3	14	0	-
99840	2006	3	14	6	8
99840	2006	3	14	12	6
99840	2006	3	14	18	7
99840	2006	3	15	0	-
99840	2006	3	15	6	-
99840	2006	3	15	12	4
99840	2006	3	15	18	2
99840	2006	3	16	0	6
99840	2006	3	16	6	7
99840	2006	3	16	12	2
99840	2006	3	16	18	3
99840	2006	3	17	0	7
99840	2006	3	17	6	1
99840	2006	3	17	12	1
99840	2006	3	17	18	1
99840	2006	3	18	0	3
99840	2006	3	18	6	6
99840	2006	3	18	12	7
99840	2006	3	18	18	5
99840	2006	3	19	0	5
99840	2006	3	19	6	7
99840	2006	3	19	12	6
99840	2006	3	19	18	6
99840	2006	3	20	0	6
99840	2006	3	20	6	6
99840	2006	3	20	12	6
99840	2006	3	20	18	5
99840	2006	3	21	0	2
99840	2006	3	21	6	3
99840	2006	3	21	12	4
99840	2006	3	21	18	3
99840	2006	3	22	0	1
99840	2006	3	22	6	4
99840	2006	3	22	12	7
99840	2006	3	22	18	4
99840	2006	3	23	0	7
99840	2006	3	23	6	7
99840	2006	3	23	12	7
99840	2006	3	23	18	7
99840	2006	3	24	0	7
99840	2006	3	24	6	3
99840	2006	3	24	12	6
99840	2006	3	24	18	4
99840	2006	3	25	0	1
99840	2006	3	25	6	3
99840	2006	3	25	12	1
99840	2006	3	25	18	1
99840	2006	3	26	0	1
99840	2006	3	26	6	2
99840	2006	3	26	12	1
99840	2006	3	26	18	3
99840	2006	3	27	0	1
99840	2006	3	27	6	1
99840	2006	3	27	12	1
99840	2006	3	27	18	1
99840	2006	3	28	0	1
99840	2006	3	28	6	1
99840	2006	3	28	12	1
99840	2006	3	28	18	1
99840	2006	3	29	0	1
99840	2006	3	29	6	1
99840	2006	3	29	12	1
99840	2006	3	29	18	1
99840	2006	3	30	0	1
99840	2006	3	30	6	4
99840	2006	3	30	12	3
99840	2006	3	30	18	3
99840	2006	3	31	0	6
99840	2006	3	31	6	1
99840	2006	3	31	12	1
99840	2006	3	31	18	1
99840	2006	4	1	0	1
99840	2006	4	1	6	6
99840	2006	4	1	12	7
99840	2006	4	1	18	2
99840	2006	4	2	0	3
99840	2006	4	2	6	6
99840	2006	4	2	12	7
99840	2006	4	2	18	7
99840	2006	4	3	0	7
99840	2006	4	3	6	7
99840	2006	4	3	12	6
99840	2006	4	3	18	6
99840	2006	4	4	0	5
99840	2006	4	4	6	7
99840	2006	4	4	12	7
99840	2006	4	4	18	7
99840	2006	4	5	0	5
99840	2006	4	5	6	7
99840	2006	4	5	12	7
99840	2006	4	5	18	7
99840	2006	4	6	0	7
99840	2006	4	6	6	7
99840	2006	4	6	12	6
99840	2006	4	6	18	6
99840	2006	4	7	0	7
99840	2006	4	7	6	7
99840	2006	4	7	12	7
99840	2006	4	7	18	6
99840	2006	4	8	0	7
99840	2006	4	8	6	7
99840	2006	4	8	12	7
99840	2006	4	8	18	7
99840	2006	4	9	0	7
99840	2006	4	9	6	7
99840	2006	4	9	12	7
99840	2006	4	9	18	7
99840	2006	4	10	0	7
99840	2006	4	10	6	7
99840	2006	4	10	12	6
99840	2006	4	10	18	7
99840	2006	4	11	0	7
99840	2006	4	11	6	7
99840	2006	4	11	12	5
99840	2006	4	11	18	5
99840	2006	4	12	0	3
99840	2006	4	12	6	3
99840	2006	4	12	12	3
99840	2006	4	12	18	3
99840	2006	4	13	0	4
99840	2006	4	13	6	3
99840	2006	4	13	12	5
99840	2006	4	13	18	3
99840	2006	4	14	0	4
99840	2006	4	14	6	4
99840	2006	4	14	12	7
99840	2006	4	14	18	7
99840	2006	4	15	0	7
99840	2006	4	15	6	7
99840	2006	4	15	12	4
99840	2006	4	15	18	7
99840	2006	4	16	0	7
99840	2006	4	16	6	7
99840	2006	4	16	12	7
99840	2006	4	16	18	7
99840	2006	4	17	0	7
99840	2006	4	17	6	7
99840	2006	4	17	12	7
99840	2006	4	17	18	7
99840	2006	4	18	0	7
99840	2006	4	18	6	6
99840	2006	4	18	12	7
99840	2006	4	18	18	6
99840	2006	4	19	0	6
99840	2006	4	19	6	7
99840	2006	4	19	12	7
99840	2006	4	19	18	7
99840	2006	4	20	0	3
99840	2006	4	20	6	3
99840	2006	4	20	12	4
99840	2006	4	20	18	1
99840	2006	4	21	0	1
99840	2006	4	21	6	1
99840	2006	4	21	12	6
99840	2006	4	21	18	4
99840	2006	4	22	0	8
99840	2006	4	22	6	8
99840	2006	4	22	12	3
99840	2006	4	22	18	6
99840	2006	4	23	0	5
99840	2006	4	23	6	7
99840	2006	4	23	12	7
99840	2006	4	23	18	7
99840	2006	4	24	0	6
99840	2006	4	24	6	7
99840	2006	4	24	12	7
99840	2006	4	24	18	7
99840	2006	4	25	0	7
99840	2006	4	25	6	7
99840	2006	4	25	12	7
99840	2006	4	25	18	6
99840	2006	4	26	0	3
99840	2006	4	26	6	3
99840	2006	4	26	12	4
99840	2006	4	26	18	6
99840	2006	4	27	0	2
99840	2006	4	27	6	3
99840	2006	4	27	12	7
99840	2006	4	27	18	7
99840	2006	4	28	0	6
99840	2006	4	28	6	4
99840	2006	4	28	12	4
99840	2006	4	28	18	6
99840	2006	4	29	0	7
99840	2006	4	29	6	7
99840	2006	4	29	12	7
99840	2006	4	29	18	7
99840	2006	4	30	0	8
99840	2006	4	30	6	7
99840	2006	4	30	12	4
99840	2006	4	30	18	6
99840	2006	5	1	0	7
99840	2006	5	1	6	7
99840	2006	5	1	12	7
99840	2006	5	1	18	7
99840	2006	5	2	0	7
99840	2006	5	2	6	3
99840	2006	5	2	12	1
99840	2006	5	2	18	0
99840	2006	5	3	0	1
99840	2006	5	3	6	4
99840	2006	5	3	12	4
99840	2006	5	3	18	7
99840	2006	5	4	0	6
99840	2006	5	4	6	5
99840	2006	5	4	12	5
99840	2006	5	4	18	7
99840	2006	5	5	0	8
99840	2006	5	5	6	8
99840	2006	5	5	12	7
99840	2006	5	5	18	7
99840	2006	5	6	0	7
99840	2006	5	6	6	7
99840	2006	5	6	12	8
99840	2006	5	6	18	2
99840	2006	5	7	0	7
99840	2006	5	7	6	6
99840	2006	5	7	12	.
99840	2006	5	7	18	8
99840	2006	5	8	0	6
99840	2006	5	8	6	3
99840	2006	5	8	12	6
99840	2006	5	8	18	1
99840	2006	5	9	0	1
99840	2006	5	9	6	1
99840	2006	5	9	12	1
99840	2006	5	9	18	3
99840	2006	5	10	0	6
99840	2006	5	10	6	2
99840	2006	5	10	12	3
99840	2006	5	10	18	3
99840	2006	5	11	0	4
99840	2006	5	11	6	7
99840	2006	5	11	12	6
99840	2006	5	11	18	7
99840	2006	5	12	0	7
99840	2006	5	12	6	7
99840	2006	5	12	12	6
99840	2006	5	12	18	7
99840	2006	5	13	0	4
99840	2006	5	13	6	4
99840	2006	5	13	12	4
99840	2006	5	13	18	6
99840	2006	5	14	0	6
99840	2006	5	14	6	4
99840	2006	5	14	12	4
99840	2006	5	14	18	3
99840	2006	5	15	0	3
99840	2006	5	15	6	1
99840	2006	5	15	12	4
99840	2006	5	15	18	7
99840	2006	5	16	0	7
99840	2006	5	16	6	7
99840	2006	5	16	12	7
99840	2006	5	16	18	3
99840	2006	5	17	0	7
99840	2006	5	17	6	7
99840	2006	5	17	12	7
99840	2006	5	17	18	5
99840	2006	5	18	0	6
99840	2006	5	18	6	7
99840	2006	5	18	12	7
99840	2006	5	18	18	7
99840	2006	5	19	0	6
99840	2006	5	19	6	4
99840	2006	5	19	12	5
99840	2006	5	19	18	6
99840	2006	5	20	0	7
99840	2006	5	20	6	5
99840	2006	5	20	12	7
99840	2006	5	20	18	7
99840	2006	5	21	0	7
99840	2006	5	21	6	7
99840	2006	5	21	12	7
99840	2006	5	21	18	7
99840	2006	5	22	0	7
99840	2006	5	22	6	2
99840	2006	5	22	12	2
99840	2006	5	22	18	4
99840	2006	5	23	0	6
99840	2006	5	23	6	2
99840	2006	5	23	12	1
99840	2006	5	23	18	1
99840	2006	5	24	0	3
99840	2006	5	24	6	6
99840	2006	5	24	12	4
99840	2006	5	24	18	7
99840	2006	5	25	0	5
99840	2006	5	25	6	1
99840	2006	5	25	12	6
99840	2006	5	25	18	8
99840	2006	5	26	0	7
99840	2006	5	26	6	7
99840	2006	5	26	12	7
99840	2006	5	26	18	7
99840	2006	5	27	0	7
99840	2006	5	27	6	7
99840	2006	5	27	12	7
99840	2006	5	27	18	7
99840	2006	5	28	0	7
99840	2006	5	28	6	7
99840	2006	5	28	12	7
99840	2006	5	28	18	7
99840	2006	5	29	0	7
99840	2006	5	29	6	7
99840	2006	5	29	12	4
99840	2006	5	29	18	7
99840	2006	5	30	0	7
99840	2006	5	30	6	7
99840	2006	5	30	12	7
99840	2006	5	30	18	7
99840	2006	5	31	0	7
99840	2006	5	31	6	3
99840	2006	5	31	12	5
99840	2006	5	31	18	7
99840	2006	6	1	0	7
99840	2006	6	1	6	7
99840	2006	6	1	12	7
99840	2006	6	1	18	7
99840	2006	6	2	0	7
99840	2006	6	2	6	7
99840	2006	6	2	12	7
99840	2006	6	2	18	7
99840	2006	6	3	0	7
99840	2006	6	3	6	4
99840	2006	6	3	12	6
99840	2006	6	3	18	2
99840	2006	6	4	0	2
99840	2006	6	4	6	3
99840	2006	6	4	12	6
99840	2006	6	4	18	4
99840	2006	6	5	0	6
99840	2006	6	5	6	7
99840	2006	6	5	12	7
99840	2006	6	5	18	7
99840	2006	6	6	0	7
99840	2006	6	6	6	7
99840	2006	6	6	12	7
99840	2006	6	6	18	7
99840	2006	6	7	0	7
99840	2006	6	7	6	7
99840	2006	6	7	12	7
99840	2006	6	7	18	8
99840	2006	6	8	0	7
99840	2006	6	8	6	7
99840	2006	6	8	12	7
99840	2006	6	8	18	6
99840	2006	6	9	0	3
99840	2006	6	9	6	6
99840	2006	6	9	12	5
99840	2006	6	9	18	5
99840	2006	6	10	0	1
99840	2006	6	10	6	7
99840	2006	6	10	12	7
99840	2006	6	10	18	7
99840	2006	6	11	0	7
99840	2006	6	11	6	7
99840	2006	6	11	12	7
99840	2006	6	11	18	8
99840	2006	6	12	0	.
99840	2006	6	12	6	7
99840	2006	6	12	12	7
99840	2006	6	12	18	7
99840	2006	6	13	0	7
99840	2006	6	13	6	7
99840	2006	6	13	12	7
99840	2006	6	13	18	4
99840	2006	6	14	0	.
99840	2006	6	14	6	7
99840	2006	6	14	12	6
99840	2006	6	14	18	7
99840	2006	6	15	0	2
99840	2006	6	15	6	2
99840	2006	6	15	12	4
99840	2006	6	15	18	6
99840	2006	6	16	0	4
99840	2006	6	16	6	4
99840	2006	6	16	12	4
99840	2006	6	16	18	3
99840	2006	6	17	0	7
99840	2006	6	17	6	6
99840	2006	6	17	12	7
99840	2006	6	17	18	6
99840	2006	6	18	0	7
99840	2006	6	18	6	7
99840	2006	6	18	12	7
99840	2006	6	18	18	7
99840	2006	6	19	0	7
99840	2006	6	19	6	7
99840	2006	6	19	12	6
99840	2006	6	19	18	7
99840	2006	6	20	0	7
99840	2006	6	20	6	6
99840	2006	6	20	12	7
99840	2006	6	20	18	7
99840	2006	6	21	0	7
99840	2006	6	21	6	7
99840	2006	6	21	12	4
99840	2006	6	21	18	4
99840	2006	6	22	0	7
99840	2006	6	22	6	7
99840	2006	6	22	12	3
99840	2006	6	22	18	7
99840	2006	6	23	0	5
99840	2006	6	23	6	7
99840	2006	6	23	12	7
99840	2006	6	23	18	8
99840	2006	6	24	0	7
99840	2006	6	24	6	7
99840	2006	6	24	12	7
99840	2006	6	24	18	7
99840	2006	6	25	0	8
99840	2006	6	25	6	7
99840	2006	6	25	12	6
99840	2006	6	25	18	5
99840	2006	6	26	0	7
99840	2006	6	26	6	7
99840	2006	6	26	12	6
99840	2006	6	26	18	7
99840	2006	6	27	0	8
99840	2006	6	27	6	7
99840	2006	6	27	12	7
99840	2006	6	27	18	7
99840	2006	6	28	0	7
99840	2006	6	28	6	7
99840	2006	6	28	12	7
99840	2006	6	28	18	7
99840	2006	6	29	0	7
99840	2006	6	29	6	7
99840	2006	6	29	12	7
99840	2006	6	29	18	7
99840	2006	6	30	0	7
99840	2006	6	30	6	7
99840	2006	6	30	12	7
99840	2006	6	30	18	7
99840	2006	7	1	0	5
99840	2006	7	1	6	6
99840	2006	7	1	12	7
99840	2006	7	1	18	7
99840	2006	7	2	0	7
99840	2006	7	2	6	7
99840	2006	7	2	12	7
99840	2006	7	2	18	7
99840	2006	7	3	0	4
99840	2006	7	3	6	7
99840	2006	7	3	12	6
99840	2006	7	3	18	7
99840	2006	7	4	0	4
99840	2006	7	4	6	7
99840	2006	7	4	12	7
99840	2006	7	4	18	7
99840	2006	7	5	0	7
99840	2006	7	5	6	7
99840	2006	7	5	12	7
99840	2006	7	5	18	7
99840	2006	7	6	0	7
99840	2006	7	6	6	7
99840	2006	7	6	12	7
99840	2006	7	6	18	7
99840	2006	7	7	0	7
99840	2006	7	7	6	7
99840	2006	7	7	12	7
99840	2006	7	7	18	7
99840	2006	7	8	0	7
99840	2006	7	8	6	7
99840	2006	7	8	12	7
99840	2006	7	8	18	5
99840	2006	7	9	0	3
99840	2006	7	9	6	7
99840	2006	7	9	12	7
99840	2006	7	9	18	7
99840	2006	7	10	0	8
99840	2006	7	10	6	7
99840	2006	7	10	12	7
99840	2006	7	10	18	7
99840	2006	7	11	0	7
99840	2006	7	11	6	7
99840	2006	7	11	12	2
99840	2006	7	11	18	6
99840	2006	7	12	0	7
99840	2006	7	12	6	7
99840	2006	7	12	12	7
99840	2006	7	12	18	7
99840	2006	7	13	0	7
99840	2006	7	13	6	7
99840	2006	7	13	12	8
99840	2006	7	13	18	7
99840	2006	7	14	0	7
99840	2006	7	14	6	7
99840	2006	7	14	12	7
99840	2006	7	14	18	6
99840	2006	7	15	0	8
99840	2006	7	15	6	6
99840	2006	7	15	12	3
99840	2006	7	15	18	7
99840	2006	7	16	0	7
99840	2006	7	16	6	7
99840	2006	7	16	12	7
99840	2006	7	16	18	7
99840	2006	7	17	0	7
99840	2006	7	17	6	7
99840	2006	7	17	12	7
99840	2006	7	17	18	7
99840	2006	7	18	0	7
99840	2006	7	18	6	4
99840	2006	7	18	12	3
99840	2006	7	18	18	4
99840	2006	7	19	0	2
99840	2006	7	19	6	7
99840	2006	7	19	12	6
99840	2006	7	19	18	1
99840	2006	7	20	0	1
99840	2006	7	20	6	1
99840	2006	7	20	12	1
99840	2006	7	20	18	3
99840	2006	7	21	0	5
99840	2006	7	21	6	7
99840	2006	7	21	12	6
99840	2006	7	21	18	7
99840	2006	7	22	0	7
99840	2006	7	22	6	7
99840	2006	7	22	12	7
99840	2006	7	22	18	5
99840	2006	7	23	0	7
99840	2006	7	23	6	5
99840	2006	7	23	12	1
99840	2006	7	23	18	5
99840	2006	7	24	0	7
99840	2006	7	24	6	7
99840	2006	7	24	12	7
99840	2006	7	24	18	7
99840	2006	7	25	0	1
99840	2006	7	25	6	7
99840	2006	7	25	12	4
99840	2006	7	25	18	6
99840	2006	7	26	0	7
99840	2006	7	26	6	7
99840	2006	7	26	12	7
99840	2006	7	26	18	8
99840	2006	7	27	0	7
99840	2006	7	27	6	7
99840	2006	7	27	12	5
99840	2006	7	27	18	1
99840	2006	7	28	0	1
99840	2006	7	28	6	8
99840	2006	7	28	12	7
99840	2006	7	28	18	6
99840	2006	7	29	0	7
99840	2006	7	29	6	8
99840	2006	7	29	12	6
99840	2006	7	29	18	7
99840	2006	7	30	0	8
99840	2006	7	30	6	7
99840	2006	7	30	12	7
99840	2006	7	30	18	8
99840	2006	7	31	0	7
99840	2006	7	31	6	7
99840	2006	7	31	12	7
99840	2006	7	31	18	7
99840	2006	8	1	0	7
99840	2006	8	1	6	7
99840	2006	8	1	12	4
99840	2006	8	1	18	7
99840	2006	8	2	0	7
99840	2006	8	2	6	7
99840	2006	8	2	12	7
99840	2006	8	2	18	5
99840	2006	8	3	0	7
99840	2006	8	3	6	7
99840	2006	8	3	12	7
99840	2006	8	3	18	7
99840	2006	8	4	0	7
99840	2006	8	4	6	7
99840	2006	8	4	12	7
99840	2006	8	4	18	7
99840	2006	8	5	0	7
99840	2006	8	5	6	8
99840	2006	8	5	12	8
99840	2006	8	5	18	7
99840	2006	8	6	0	8
99840	2006	8	6	6	7
99840	2006	8	6	12	2
99840	2006	8	6	18	7
99840	2006	8	7	0	7
99840	2006	8	7	6	7
99840	2006	8	7	12	7
99840	2006	8	7	18	8
99840	2006	8	8	0	.
99840	2006	8	8	6	8
99840	2006	8	8	12	7
99840	2006	8	8	18	6
99840	2006	8	9	0	6
99840	2006	8	9	6	7
99840	2006	8	9	12	7
99840	2006	8	9	18	7
99840	2006	8	10	0	7
99840	2006	8	10	6	7
99840	2006	8	10	12	6
99840	2006	8	10	18	7
99840	2006	8	11	0	7
99840	2006	8	11	6	7
99840	2006	8	11	12	7
99840	2006	8	11	18	8
99840	2006	8	12	0	7
99840	2006	8	12	6	7
99840	2006	8	12	12	7
99840	2006	8	12	18	7
99840	2006	8	13	0	6
99840	2006	8	13	6	7
99840	2006	8	13	12	4
99840	2006	8	13	18	7
99840	2006	8	14	0	8
99840	2006	8	14	6	7
99840	2006	8	14	12	6
99840	2006	8	14	18	6
99840	2006	8	15	0	5
99840	2006	8	15	6	7
99840	2006	8	15	12	4
99840	2006	8	15	18	2
99840	2006	8	16	0	3
99840	2006	8	16	6	4
99840	2006	8	16	12	5
99840	2006	8	16	18	4
99840	2006	8	17	0	7
99840	2006	8	17	6	7
99840	2006	8	17	12	7
99840	2006	8	17	18	7
99840	2006	8	18	0	7
99840	2006	8	18	6	4
99840	2006	8	18	12	2
99840	2006	8	18	18	7
99840	2006	8	19	0	7
99840	2006	8	19	6	7
99840	2006	8	19	12	8
99840	2006	8	19	18	8
99840	2006	8	20	0	8
99840	2006	8	20	6	8
99840	2006	8	20	12	5
99840	2006	8	20	18	6
99840	2006	8	21	0	5
99840	2006	8	21	6	6
99840	2006	8	21	12	7
99840	2006	8	21	18	7
99840	2006	8	22	0	7
99840	2006	8	22	6	8
99840	2006	8	22	12	7
99840	2006	8	22	18	7
99840	2006	8	23	0	6
99840	2006	8	23	6	7
99840	2006	8	23	12	7
99840	2006	8	23	18	7
99840	2006	8	24	0	7
99840	2006	8	24	6	7
99840	2006	8	24	12	7
99840	2006	8	24	18	7
99840	2006	8	25	0	7
99840	2006	8	25	6	7
99840	2006	8	25	12	7
99840	2006	8	25	18	7
99840	2006	8	26	0	8
99840	2006	8	26	6	8
99840	2006	8	26	12	7
99840	2006	8	26	18	7
